date,vehicle_class,percent_of_normal_volume,version
2020-08-26,Bus,40.160000000000004,1.0
2020-08-26,LDT,161.87,1.0
2020-03-31,MDT,94.84,1.0
2020-03-31,MPV,68.47,1.0
2020-03-31,HDT,96.54,1.0
2020-03-31,LDT,90.53,1.0
2020-03-31,Bus,14.540000000000001,1.0
2020-03-31,Passenger,61.160000000000004,1.0
2020-08-08,HDT,112.57999999999998,1.0
2020-08-08,MPV,117.69000000000001,1.0
2020-08-08,Bus,64.1,1.0
2020-08-08,Passenger,79.29,1.0
2020-08-08,LDT,171.21,1.0
2020-08-08,MDT,126.99000000000001,1.0
2020-04-06,MDT,91.91,1.0
2020-04-06,LDT,92.04,1.0
2020-04-06,Bus,13.15,1.0
2020-04-06,MPV,69.65,1.0
2020-04-06,Passenger,57.699999999999996,1.0
2020-04-06,HDT,98.78,1.0
2020-05-06,Passenger,72.32,1.0
2020-05-06,MDT,113.82000000000001,1.0
2020-05-06,LDT,143.74,1.0
2020-05-06,MPV,92.69,1.0
2020-05-06,HDT,102.44,1.0
2020-05-06,Bus,16.64,1.0
2020-05-13,LDT,147.4,1.0
2020-05-13,Passenger,73.69,1.0
2020-05-13,HDT,104.88,1.0
2020-05-13,MPV,95.65,1.0
2020-05-13,MDT,116.46000000000001,1.0
2020-05-13,Bus,18.25,1.0
2020-06-11,MPV,106.91999999999999,1.0
2020-06-11,Passenger,86.89,1.0
2020-06-11,Bus,21.47,1.0
2020-06-11,HDT,112.96,1.0
2020-06-11,LDT,160.86,1.0
2020-06-11,MDT,126.37,1.0
2020-04-23,LDT,100.4,1.0
2020-04-23,Passenger,60.18,1.0
2020-04-23,HDT,99.08,1.0
2020-04-23,Bus,15.49,1.0
2020-04-23,MDT,95.49,1.0
2020-04-23,MPV,74.24,1.0
2020-05-04,Bus,15.870000000000001,1.0
2020-05-04,MDT,114.45,1.0
2020-05-04,LDT,142.69,1.0
2020-05-04,Passenger,70.899999999999991,1.0
2020-05-04,MPV,91.62,1.0
2020-05-04,HDT,103.8,1.0
2020-04-27,Passenger,63.61,1.0
2020-04-27,MPV,82.03,1.0
2020-04-27,LDT,121.35000000000001,1.0
2020-04-27,MDT,101.27999999999999,1.0
2020-04-27,HDT,101.92000000000002,1.0
2020-04-27,Bus,15.14,1.0
2020-04-19,HDT,96.07,1.0
2020-04-19,LDT,118.08000000000001,1.0
2020-04-19,Passenger,46.51,1.0
2020-04-19,MPV,76.14,1.0
2020-04-19,Bus,31.369999999999997,1.0
2020-04-19,MDT,83.72,1.0
2020-06-16,MDT,126.39,1.0
2020-06-16,Passenger,89.83,1.0
2020-06-16,HDT,110.69,1.0
2020-06-16,Bus,22.09,1.0
2020-06-16,LDT,156.61,1.0
2020-06-16,MPV,105.39,1.0
2020-05-10,Bus,40.23,1.0
2020-05-10,MDT,97.89,1.0
2020-05-10,MPV,98.48,1.0
2020-05-10,HDT,90.210000000000008,1.0
2020-05-10,Passenger,52.470000000000006,1.0
2020-05-10,LDT,157.1,1.0
2020-09-01,Bus,47.3,1.0
2020-09-01,MDT,131.05,1.0
2020-09-01,MPV,114.6,1.0
2020-09-01,HDT,117.60999999999999,1.0
2020-09-01,Passenger,93.51,1.0
2020-09-01,LDT,161.14,1.0
2020-07-04,MPV,82.240000000000009,1.0
2020-07-04,HDT,79.06,1.0
2020-07-04,Passenger,60.589999999999996,1.0
2020-07-04,Bus,42.41,1.0
2020-07-04,LDT,75.91,1.0
2020-07-04,MDT,82.04,1.0
2020-04-03,LDT,88.67,1.0
2020-04-03,Bus,14.57,1.0
2020-04-03,MDT,91.42,1.0
2020-04-03,Passenger,58.699999999999996,1.0
2020-04-03,HDT,93.88,1.0
2020-04-03,MPV,71.5,1.0
2020-06-20,LDT,165.19,1.0
2020-06-20,Passenger,77.89,1.0
2020-06-20,MDT,124.75,1.0
2020-06-20,MPV,111.5,1.0
2020-06-20,HDT,105.25999999999999,1.0
2020-06-20,Bus,45.33,1.0
2020-06-27,Bus,56.599999999999994,1.0
2020-06-27,Passenger,79.67,1.0
2020-06-27,HDT,110.77999999999999,1.0
2020-06-27,MDT,133.89,1.0
2020-06-27,MPV,116.27000000000001,1.0
2020-06-27,LDT,169.9,1.0
2020-04-08,HDT,95.55,1.0
2020-04-08,Passenger,57.13,1.0
2020-04-08,LDT,91.58,1.0
2020-04-08,MDT,91.29,1.0
2020-04-08,Bus,12.58,1.0
2020-04-08,MPV,68.69,1.0
2020-05-16,LDT,160.38,1.0
2020-05-16,MDT,115.8,1.0
2020-05-16,HDT,95.5,1.0
2020-05-16,MPV,103.47999999999999,1.0
2020-05-16,Bus,36.57,1.0
2020-05-16,Passenger,66.33,1.0
2020-09-12,LDT,168.63,1.0
2020-09-12,HDT,125.54,1.0
2020-09-12,Bus,73.28,1.0
2020-09-12,Passenger,79.34,1.0
2020-09-12,MDT,137.12,1.0
2020-09-12,MPV,127.54,1.0
2020-05-17,MDT,115.38999999999999,1.0
2020-05-17,Passenger,54.059999999999995,1.0
2020-05-17,MPV,99.69,1.0
2020-05-17,HDT,94.56,1.0
2020-05-17,LDT,166.48000000000002,1.0
2020-05-17,Bus,42.92,1.0
2020-05-12,MPV,96.61999999999999,1.0
2020-05-12,MDT,114.91,1.0
2020-05-12,LDT,144.94,1.0
2020-05-12,HDT,104.35000000000001,1.0
2020-05-12,Bus,17.83,1.0
2020-05-12,Passenger,75.36,1.0
2020-05-07,Passenger,72.11,1.0
2020-05-07,MPV,92.78,1.0
2020-05-07,MDT,115.77,1.0
2020-05-07,HDT,105.80000000000001,1.0
2020-05-07,Bus,17.78,1.0
2020-05-07,LDT,144.82,1.0
2020-06-25,MPV,107.57000000000001,1.0
2020-06-25,LDT,159.67,1.0
2020-06-25,Bus,23.48,1.0
2020-06-25,MDT,128.72,1.0
2020-06-25,HDT,112.63000000000001,1.0
2020-06-25,Passenger,88.82,1.0
2020-09-05,LDT,162.17,1.0
2020-09-05,Bus,64.94,1.0
2020-09-05,MPV,119.67000000000002,1.0
2020-09-05,Passenger,80.089999999999989,1.0
2020-09-05,HDT,113.83000000000001,1.0
2020-09-05,MDT,127.47,1.0
2020-04-13,Bus,11.49,1.0
2020-04-13,HDT,90.57,1.0
2020-04-13,MPV,67.589999999999989,1.0
2020-04-13,LDT,92.95,1.0
2020-04-13,Passenger,55.46,1.0
2020-04-13,MDT,84.009999999999991,1.0
2020-06-28,MPV,112.53,1.0
2020-06-28,LDT,179.32999999999998,1.0
2020-06-28,HDT,106.36000000000001,1.0
2020-06-28,Bus,61.970000000000006,1.0
2020-06-28,Passenger,65.06,1.0
2020-06-28,MDT,144.44,1.0
2020-09-15,Passenger,90.89,1.0
2020-09-15,MPV,118.12,1.0
2020-09-15,Bus,78.05,1.0
2020-09-15,MDT,131.68,1.0
2020-09-15,LDT,157.59,1.0
2020-09-15,HDT,119.22999999999999,1.0
2020-04-24,Bus,14.299999999999999,1.0
2020-04-24,LDT,99.37,1.0
2020-04-24,MDT,93.19,1.0
2020-04-24,MPV,75.149999999999991,1.0
2020-04-24,HDT,96.89,1.0
2020-04-24,Passenger,59.99,1.0
2020-08-04,LDT,153.41,1.0
2020-08-04,HDT,110.16999999999999,1.0
2020-08-04,Bus,24.25,1.0
2020-08-04,MDT,124.44,1.0
2020-08-04,MPV,105.87,1.0
2020-08-04,Passenger,85.11,1.0
2020-08-03,MPV,99.17,1.0
2020-08-03,Bus,24.02,1.0
2020-08-03,HDT,104.03999999999999,1.0
2020-08-03,MDT,121.88000000000001,1.0
2020-08-03,LDT,147.81,1.0
2020-08-03,Passenger,85.399999999999991,1.0
2020-08-20,Passenger,90.24,1.0
2020-08-20,HDT,116.32000000000001,1.0
2020-08-20,MPV,112.44000000000001,1.0
2020-08-20,LDT,161.52,1.0
2020-08-20,MDT,130.19,1.0
2020-08-20,Bus,36,1.0
2020-07-07,MPV,106.63,1.0
2020-07-07,LDT,154.92,1.0
2020-07-07,Bus,21.9,1.0
2020-07-07,HDT,105.25999999999999,1.0
2020-07-07,Passenger,89.649999999999991,1.0
2020-07-07,MDT,122.97,1.0
2020-07-26,MDT,129.84,1.0
2020-07-26,MPV,117.92,1.0
2020-07-26,Passenger,65.98,1.0
2020-07-26,LDT,178.9,1.0
2020-07-26,Bus,58.699999999999996,1.0
2020-07-26,HDT,101.93,1.0
2020-05-28,LDT,155.21,1.0
2020-05-28,Passenger,81.75,1.0
2020-05-28,HDT,110.60000000000001,1.0
